window_end,M1_LCC,M2_APL,M3_MeanDeg,M4_NCom,M5_Mod,M6_AbsRat,M7_Close,M8_EigMn,M9_EigMx,M10_PCorr
2005-03-18,0.6521739130434783,2.447619047619048,1.9130434782608696,,,0.36953897775654254,0.385015640160143,,,-0.03162286907804579
2005-09-16,0.6521739130434783,2.857142857142857,1.7391304347826086,,,0.3595484406176384,0.31941094923700064,,0.5679486646397472,-0.03265439282263025
2006-03-17,0.0967741935483871,1.3333333333333333,0.6451612903225806,,,0.3923131244134307,0.2024268321898312,,0.5197959250308151,-0.015047338302974785
2006-09-15,0.7368421052631579,4.468253968253968,1.9473684210526316,37.0,0.0,0.41550317050415886,0.35836986121769016,0.03721896661010641,0.47279915562696356,-0.013226104806863495
2007-03-16,0.9347826086956522,3.6965669988925804,2.4782608695652173,43.0,0.6666666666666666,0.47207828297803767,0.35717034879196674,,0.45145978639564815,-0.016079488076669753
2007-09-21,0.3617021276595745,3.551470588235294,1.574468085106383,45.0,0.5,0.45193274241255615,0.2813492498166162,,0.31427019401100964,-0.012232707262343143
2008-03-21,0.8958333333333334,3.4617940199335546,2.5833333333333335,47.0,0.0,0.569050903395569,0.3650599812605024,0.02946531688624986,0.427848548659235,-0.015555369344804991
2008-09-19,0.9130434782608695,3.813008130081301,2.4347826086956523,43.0,0.6666666666666666,0.6159327374446341,0.3529763595183686,0.03076894194197705,0.47182126127155893,-0.014632509936575827
2009-03-20,1.0,3.329849012775842,3.0476190476190474,39.0,0.4444444444444444,0.6884048031347452,0.4137699456931538,0.040649579497651134,0.49001283256846584,-0.01880405995579276
2009-09-18,0.6842105263157895,4.098461538461539,1.8421052631578947,35.0,0.6666666666666666,0.6485247200087941,0.3506794675226947,0.037257449849073254,0.5675813107518265,-0.01876167196398924
2010-03-19,0.8918918918918919,3.4640151515151514,2.2162162162162162,36.0,0.0,0.5663641096233487,0.35922230441749037,0.038224448819512695,0.5766223376288434,-0.015972678084701458
2010-09-17,0.42105263157894735,3.3833333333333333,1.4736842105263157,,,0.5251136330873463,0.25937874618537216,,0.5785747780141866,-0.016022770494488157
